,Area,Item,Element,Unit,Y2005,Y2017
1658,Austria,Barley,Production,tonnes,879628.0,782029.0
1673,Austria,Buckwheat,Production,tonnes,0.0,0.0
1733,Austria,Linseed,Production,tonnes,6441.0,1786.0
1736,Austria,Lupins,Production,tonnes,1038.0,334.0
1739,Austria,Maize,Production,tonnes,2020955.0,2075983.0
1747,Austria,Millet,Production,tonnes,8733.0,10608.0
1752,Austria,Oats,Production,tonnes,128432.0,76672.0
1791,Austria,Rapeseed,Production,tonnes,104303.0,116835.0
1797,Austria,Rye,Production,tonnes,163653.0,129070.0
1800,Austria,Sorghum,Production,tonnes,,20331.0
1826,Austria,Triticale,Production,tonnes,198468.0,289131.0
1835,Austria,Vetches,Production,tonnes,2142.0,3693.0
1844,Austria,Wheat,Production,tonnes,1453072.0,1437143.0
2831,Belgium,Barley,Production,tonnes,301647.0,381128.0
2894,Belgium,Linseed,Production,tonnes,10270.0,11000.0
2897,Belgium,Maize,Production,tonnes,634088.0,608671.0
2904,Belgium,Oats,Production,tonnes,29194.0,18428.0
2932,Belgium,Rapeseed,Production,tonnes,24000.0,46090.0
2938,Belgium,Rye,Production,tonnes,2326.0,2389.0
2956,Belgium,Triticale,Production,tonnes,48823.0,34106.0
2967,Belgium,Wheat,Production,tonnes,1768410.0,1702721.0
4680,Bulgaria,Barley,Production,tonnes,657863.0,595237.0
4697,Bulgaria,Buckwheat,Production,tonnes,,
4780,Bulgaria,Lentils,Production,tonnes,2295.0,5920.0
4786,Bulgaria,Linseed,Production,tonnes,82.0,181.0
4789,Bulgaria,Maize,Production,tonnes,1585701.0,2562569.0
4797,Bulgaria,Millet,Production,tonnes,4190.0,4432.0
4807,Bulgaria,Oats,Production,tonnes,50138.0,31849.0
4855,Bulgaria,Rapeseed,Production,tonnes,21778.0,478987.0
4867,Bulgaria,Rye,Production,tonnes,13617.0,17304.0
4876,Bulgaria,Sorghum,Production,tonnes,3243.0,12219.0
4903,Bulgaria,Triticale,Production,tonnes,22643.0,59140.0
4912,Bulgaria,Vetches,Production,tonnes,910.0,31021.0
4921,Bulgaria,Wheat,Production,tonnes,3478066.0,6132671.0
8694,Croatia,Barley,Production,tonnes,162530.0,260426.0
8706,Croatia,Buckwheat,Production,tonnes,150.0,624.0
8774,Croatia,Lentils,Production,tonnes,113.0,46.0
8779,Croatia,Linseed,Production,tonnes,,
8782,Croatia,Maize,Production,tonnes,2206729.0,1559638.0
8788,Croatia,Millet,Production,tonnes,301.0,171.0
8793,Croatia,Oats,Production,tonnes,49470.0,68333.0
8799,Croatia,Olives,Production,tonnes,36602.0,28947.0
8832,Croatia,Rapeseed,Production,tonnes,41275.0,135810.0
8838,Croatia,Rye,Production,tonnes,4737.0,2566.0
8841,Croatia,Sorghum,Production,tonnes,600.0,114.0
8865,Croatia,Triticale,Production,tonnes,,68648.0
8871,Croatia,Vetches,Production,tonnes,2340.0,
8880,Croatia,Wheat,Production,tonnes,601748.0,687595.0
10157,Denmark,Barley,Production,tonnes,3797200.0,3992300.0
10210,Denmark,Linseed,Production,tonnes,0.0,159.0
10213,Denmark,Maize,Production,tonnes,,38900.0
10225,Denmark,Oats,Production,tonnes,315000.0,350200.0
10255,Denmark,Rapeseed,Production,tonnes,342200.0,742300.0
10261,Denmark,Rye,Production,tonnes,132000.0,723200.0
10276,Denmark,Triticale,Production,tonnes,151600.0,60500.0
10282,Denmark,Wheat,Production,tonnes,4887200.0,4834100.0
11584,Estonia,Barley,Production,tonnes,366717.0,425683.0
11593,Estonia,Buckwheat,Production,tonnes,485.0,3385.0
11632,Estonia,Linseed,Production,tonnes,209.0,76.0
11634,Estonia,Millet,Production,tonnes,,
11639,Estonia,Oats,Production,tonnes,84168.0,89393.0
11659,Estonia,Quinoa,Production,tonnes,,
11662,Estonia,Rapeseed,Production,tonnes,83067.0,165270.0
11671,Estonia,Rye,Production,tonnes,20385.0,52357.0
11683,Estonia,Triticale,Production,tonnes,14982.0,26450.0
11689,Estonia,Wheat,Production,tonnes,263408.0,713263.0
12472,Finland,Barley,Production,tonnes,2102900.0,1460100.0
12523,Finland,Oats,Production,tonnes,1073300.0,1013900.0
12541,Finland,Rapeseed,Production,tonnes,105600.0,91300.0
12547,Finland,Rye,Production,tonnes,32400.0,113500.0
12565,Finland,Wheat,Production,tonnes,801300.0,802000.0
12616,France,Barley,Production,tonnes,10313589.0,12086796.0
12633,France,Buckwheat,Production,tonnes,124217.0,263485.0
12660,France,Coconuts,Production,tonnes,838.0,4442.0
12723,France,Lentils,Production,tonnes,15542.0,39994.0
12729,France,Linseed,Production,tonnes,24935.0,54730.0
12732,France,Lupins,Production,tonnes,17597.0,12547.0
12735,France,Maize,Production,tonnes,13689322.0,14534897.0
12744,France,Millet,Production,tonnes,24000.0,40604.0
12751,France,Oats,Production,tonnes,497260.0,537340.0
12757,France,Olives,Production,tonnes,21861.0,18333.0
12799,France,Rapeseed,Production,tonnes,4532787.0,5317377.0
12811,France,Rye,Production,tonnes,146808.0,109715.0
